match,team,tsync,DD,Tier,WinLose
123456789,radiant,138,121.6372869,Pro,Win
123456789,radiant,139,122.7645051,Pro,Win
123456789,radiant,140,123.1796158,Pro,Win
123456789,radiant,141,122.4286031,Pro,Win
123456789,radiant,142,120.8494262,Pro,Win
123456789,radiant,143,119.1145582,Pro,Win
123456789,radiant,144,117.1467983,Pro,Win
123456789,radiant,145,117.2722419,Pro,Win
123456789,radiant,146,118.778135,Pro,Win
123456789,radiant,147,119.8520724,Pro,Win
123456789,radiant,148,121.784696,Pro,Win
123456789,radiant,149,121.8729826,Pro,Win
123456789,radiant,150,123.507164,Pro,Win
123456789,radiant,151,121.5581048,Pro,Win
123456789,radiant,152,120.4068394,Pro,Win
123456789,radiant,153,120.9212945,Pro,Win
123456789,radiant,154,121.9254709,Pro,Win
123456789,radiant,155,122.8382296,Pro,Win
123456789,radiant,156,124.2961307,Pro,Win
123456789,radiant,157,123.767718,Pro,Win
123456789,radiant,158,123.1822311,Pro,Win
123456789,radiant,159,124.6397707,Pro,Win
123456789,radiant,160,121.8737841,Pro,Win
123456789,radiant,161,121.8091332,Pro,Win
123456789,radiant,162,121.5574455,Pro,Win
123456789,radiant,163,119.8364499,Pro,Win
123456789,radiant,164,121.3358192,Pro,Win
123456789,radiant,165,121.4665398,Pro,Win
123456789,radiant,166,119.9664684,Pro,Win
123456789,radiant,167,120.339055,Pro,Win
123456789,radiant,168,119.914156,Pro,Win
123456789,radiant,169,120.2952678,Pro,Win
123456789,radiant,170,119.9538314,Pro,Win
123456789,radiant,171,120.258041,Pro,Win
123456789,radiant,172,121.8877949,Pro,Win
123456789,radiant,173,123.9257028,Pro,Win
123456789,radiant,174,125.4895949,Pro,Win
123456789,radiant,175,125.6532679,Pro,Win
123456789,radiant,176,123.3836031,Pro,Win
123456789,radiant,177,124.0218661,Pro,Win
123456789,radiant,178,123.6228769,Pro,Win
123456789,radiant,179,123.1102411,Pro,Win
123456789,radiant,180,122.9259913,Pro,Win
123456789,radiant,181,124.6311707,Pro,Win
123456789,radiant,182,125.9779989,Pro,Win
123456789,radiant,183,127.4826,Pro,Win
123456789,radiant,184,127.0747379,Pro,Win
123456789,radiant,185,127.1201973,Pro,Win
123456789,radiant,186,125.0356412,Pro,Win
123456789,radiant,187,121.561299,Pro,Win
123456789,radiant,188,118.5713282,Pro,Win
123456789,radiant,189,117.462174,Pro,Win
123456789,radiant,190,117.7658143,Pro,Win
123456789,radiant,191,116.7751486,Pro,Win
123456789,radiant,192,117.2246041,Pro,Win
123456789,radiant,193,116.9334919,Pro,Win
123456789,radiant,194,116.5508353,Pro,Win
123456789,radiant,195,116.0429982,Pro,Win
123456789,radiant,196,115.2179949,Pro,Win
123456789,radiant,197,112.5795457,Pro,Win
123456789,radiant,198,111.8399059,Pro,Win
123456789,radiant,199,110.9651457,Pro,Win
123456789,radiant,200,110.0468943,Pro,Win
123456789,radiant,201,110.3585391,Pro,Win
123456789,radiant,202,110.7648298,Pro,Win
123456789,radiant,203,110.3161252,Pro,Win
123456789,radiant,204,108.9387202,Pro,Win
123456789,radiant,205,107.7138504,Pro,Win
123456789,radiant,206,108.6766573,Pro,Win
123456789,radiant,207,108.3271893,Pro,Win
123456789,radiant,208,108.072693,Pro,Win
123456789,radiant,209,105.1691468,Pro,Win
123456789,radiant,210,103.6817941,Pro,Win
123456789,radiant,211,102.9173636,Pro,Win
123456789,radiant,212,100.766329,Pro,Win
123456789,radiant,213,103.0189703,Pro,Win
123456789,radiant,214,104.2331984,Pro,Win
123456789,radiant,215,107.9744377,Pro,Win
123456789,radiant,216,106.3386371,Pro,Win
123456789,radiant,217,105.5241089,Pro,Win
123456789,radiant,218,105.9977173,Pro,Win
123456789,radiant,219,107.0785029,Pro,Win
123456789,radiant,220,109.1892303,Pro,Win
123456789,radiant,221,110.4300509,Pro,Win
123456789,radiant,222,111.7641015,Pro,Win
123456789,radiant,223,112.9927716,Pro,Win
123456789,radiant,224,114.1717253,Pro,Win
123456789,radiant,225,113.4713418,Pro,Win
123456789,radiant,226,115.4811167,Pro,Win
123456789,radiant,227,115.3155343,Pro,Win
123456789,radiant,228,114.5101688,Pro,Win
123456789,radiant,229,118.3788122,Pro,Win
123456789,radiant,230,118.2243418,Pro,Win
123456789,radiant,231,117.7918136,Pro,Win
123456789,radiant,232,117.8150045,Pro,Win
123456789,radiant,233,118.1678602,Pro,Win
123456789,radiant,234,118.3755076,Pro,Win
123456789,radiant,235,117.5229976,Pro,Win
123456789,radiant,236,116.3069265,Pro,Win
123456789,radiant,237,114.4762178,Pro,Win
123456789,radiant,238,114.2517548,Pro,Win
123456789,radiant,239,114.883721,Pro,Win
123456789,radiant,240,113.719159,Pro,Win
123456789,radiant,241,113.9919283,Pro,Win
123456789,radiant,242,114.7048178,Pro,Win
123456789,radiant,243,116.6771631,Pro,Win
123456789,radiant,244,119.2272926,Pro,Win
123456789,radiant,245,120.9452971,Pro,Win
123456789,radiant,246,120.3789905,Pro,Win
123456789,radiant,247,118.1169343,Pro,Win
123456789,radiant,248,113.4393913,Pro,Win
123456789,radiant,249,111.5575075,Pro,Win
123456789,radiant,250,109.2000356,Pro,Win
123456789,radiant,251,108.9866897,Pro,Win
123456789,radiant,252,109.0901685,Pro,Win
123456789,radiant,253,109.4387058,Pro,Win
123456789,radiant,254,108.131555,Pro,Win
123456789,radiant,255,109.3805981,Pro,Win
123456789,radiant,256,111.6083387,Pro,Win
123456789,radiant,257,111.0212663,Pro,Win
123456789,radiant,258,108.3576839,Pro,Win
123456789,radiant,259,107.5103801,Pro,Win
123456789,radiant,260,109.1105676,Pro,Win
123456789,radiant,261,109.7628212,Pro,Win
123456789,radiant,262,109.3776213,Pro,Win
123456789,radiant,263,109.3626897,Pro,Win
123456789,radiant,264,109.2673399,Pro,Win
123456789,radiant,265,108.806535,Pro,Win
123456789,radiant,266,109.3023798,Pro,Win
123456789,radiant,267,109.2277422,Pro,Win
123456789,radiant,268,110.5913773,Pro,Win
123456789,radiant,269,109.5998095,Pro,Win
123456789,radiant,270,110.4507263,Pro,Win
123456789,radiant,271,111.6480818,Pro,Win
123456789,radiant,272,115.5338774,Pro,Win
123456789,radiant,273,119.098184,Pro,Win
123456789,radiant,274,119.7901236,Pro,Win
123456789,radiant,275,121.1338968,Pro,Win
123456789,radiant,276,119.9935375,Pro,Win
123456789,radiant,277,119.7545577,Pro,Win
123456789,radiant,278,119.6957354,Pro,Win
123456789,radiant,279,120.3068091,Pro,Win
123456789,radiant,280,119.4020556,Pro,Win
123456789,radiant,281,120.358471,Pro,Win
123456789,radiant,282,119.577544,Pro,Win
123456789,radiant,283,120.0567762,Pro,Win
123456789,radiant,284,122.3209277,Pro,Win
123456789,radiant,285,125.8072265,Pro,Win
123456789,radiant,286,127.633725,Pro,Win
123456789,radiant,287,129.3386682,Pro,Win
123456789,radiant,288,128.0513029,Pro,Win
123456789,radiant,289,126.5275455,Pro,Win
123456789,radiant,290,124.8558589,Pro,Win
123456789,radiant,291,123.4079992,Pro,Win
123456789,radiant,292,124.4395818,Pro,Win
123456789,radiant,293,122.900075,Pro,Win
123456789,radiant,294,123.6455173,Pro,Win
123456789,radiant,295,124.2021292,Pro,Win
123456789,radiant,296,122.4600576,Pro,Win
123456789,radiant,297,122.0285539,Pro,Win
123456789,radiant,298,118.2637546,Pro,Win
123456789,radiant,299,116.4179993,Pro,Win
123456789,radiant,300,113.1618685,Pro,Win
123456789,radiant,301,110.7556888,Pro,Win
123456789,radiant,302,107.8467226,Pro,Win
123456789,radiant,303,107.7352248,Pro,Win
123456789,radiant,304,107.6964646,Pro,Win
123456789,radiant,305,109.050839,Pro,Win
123456789,radiant,306,111.7527317,Pro,Win
123456789,radiant,307,110.9651332,Pro,Win
123456789,radiant,308,110.7861721,Pro,Win
123456789,radiant,309,110.9519178,Pro,Win
123456789,radiant,310,110.6200812,Pro,Win
123456789,radiant,311,111.5303951,Pro,Win
123456789,radiant,312,111.1614704,Pro,Win
123456789,radiant,313,110.695596,Pro,Win
123456789,radiant,314,111.1170525,Pro,Win
123456789,radiant,315,109.4839569,Pro,Win
123456789,radiant,316,108.0304544,Pro,Win
123456789,radiant,317,106.4031868,Pro,Win
123456789,radiant,318,109.3901458,Pro,Win
123456789,radiant,319,112.1483699,Pro,Win
123456789,radiant,320,113.8121758,Pro,Win
123456789,radiant,321,111.9025829,Pro,Win
